_id,incorrect_sentence
643d1471f22dee30aa192f7e,Me and my friend went to the movies.
643d1471f22dee30aa192f7f,"He don't know how to swim."
643d1471f22dee30aa192f80,They was at the mall.
643d1471f22dee30aa192f81,Their going to the concert tonight.
643d1471f22dee30aa192f82,She is more prettier than her sister.
643d1471f22dee30aa192f83,I done my homework already.
643d1471f22dee30aa192f84,He was laying on the couch.
643d1471f22dee30aa192f85,She seen the movie yesterday.
643d1471f22dee30aa192f86,I could of done better on the test.
643d1471f22dee30aa192f87,I seen him at the store.
643d1471f22dee30aa192f88,"She don't like pizza."
643d1471f22dee30aa192f89,"The dog chased it's tail."
643d1471f22dee30aa192f8a,Me and my sister is going to the park.
643d1471f22dee30aa192f8b,I could care less what he thinks.
643d1471f22dee30aa192f8c,He is more taller than his brother.
643d1471f22dee30aa192f8d,I feel bad for him
643d1471f22dee30aa192f8e,We was supposed to meet at the restaurant.
643d1471f22dee30aa192f8f,"The car needs it's oil changed."
643d1471f22dee30aa192f90,The teacher gave John and I a book.
643d1471f22dee30aa192f91,The childrens played in the park.
643d1471f22dee30aa192f92,She talks more louder than her friend.
643d1471f22dee30aa192f93,"They don't got enough money."
643d1471f22dee30aa192f94,He brung his guitar to the party.
643d1471f22dee30aa192f95,"I'm use to getting up early."
643d1471f22dee30aa192f96,He was to tired to study.
643d1471f22dee30aa192f97,I done it all by myself.
643d1471f22dee30aa192f98,The food is hot
643d1471f22dee30aa192f99,"I'm gonna go to the store"
643d1471f22dee30aa192f9a,The book was wrote by J.K. Rowling.
643d1471f22dee30aa192f9b,Me and him are friends.
643d1471f22dee30aa192f9c,"She don't have no money."
643d1471f22dee30aa192f9d,I seen that movie before.
643d1471f22dee30aa192f9e,They was planning to leave early.
643d1471f22dee30aa192f9f,"She don't want to go to the party."
643d1471f22dee30aa192fa0,His hair is more longer than hers.
643d1471f22dee30aa192fa1,He done it wrong.
643d1471f22dee30aa192fa2,I seen her yesterday.
643d1471f22dee30aa192fa3,Me and my mom went shopping.
643d1471f22dee30aa192fa4,She was laying on the bed.
643d1471f22dee30aa192fa5,They should of gone to the beach.
643d1471f22dee30aa192fa6,He has got a new car.
643d1471f22dee30aa192fa7,She talks good English.
643d1471f22dee30aa192fa8,The book is laying on the table.
643d1471f22dee30aa192fa9,"He don't understand the question."
643d1471f22dee30aa192faa,"I'm use to the cold weather."
643d1471f22dee30aa192fab,"The dog wagged it's tail."
643d1471f22dee30aa192fac,We was walking in the park.
643d1471f22dee30aa192fad,She have two sisters.
643d1471f22dee30aa192fae,They seen the movie last night.
643d1471f22dee30aa192faf,"He don't like to read books."
643d14fcf22dee30aa192fb0,"He don't want to go to the store."
643d14fcf22dee30aa192fb1,Their dog barked all night.
643d14fcf22dee30aa192fb2,Me and my dad went fishing.
643d14fcf22dee30aa192fb3,She sings more beautifully than anyone else.
